epoch,app_cpu_pct,postgres_cpu_pct,app_mem,postgres_mem,host_idle_pct
1785176737,177.51,176.41,498.2MiB,488.4MiB,38.75
1785176742,173.03,171.78,498.4MiB,485.1MiB,36.98
1785176747,163.25,158.46,498.6MiB,485.6MiB,46.89
1785176752,158.39,149.17,498.9MiB,486.4MiB,38.95
1785176757,174.49,175.67,499MiB,488.9MiB,30.87
1785176762,179.02,183.79,498.7MiB,490.8MiB,31.59
1785176768,148.93,144.27,498.6MiB,492.8MiB,40.23
1785176773,184.33,185.94,498.5MiB,486.6MiB,40.59
1785176778,174.06,175.78,499MiB,487.2MiB,37.59
1785176783,168.05,166.26,498.8MiB,488.5MiB,41.27
1785176788,124.90,300.14,498.6MiB,491.4MiB,49.88
1785176793,156.40,158.48,499.1MiB,493.5MiB,35.85
1785176798,158.76,163.10,499MiB,496MiB,33.38
1785176803,157.90,156.99,499.3MiB,488MiB,41.67
1785176808,184.00,180.76,499.2MiB,487.9MiB,36.94
1785176813,174.14,183.06,498.9MiB,488.8MiB,39.47
1785176818,170.12,174.85,499MiB,491.7MiB,43.15
1785176823,164.48,167.66,499.2MiB,494MiB,38.84
1785176828,179.67,175.00,499.1MiB,495.7MiB,35.78
1785176833,156.58,159.98,499.1MiB,498MiB,34.39
1785176839,370.03,349.57,499.3MiB,489.1MiB,7.21
1785176844,173.97,172.25,499.5MiB,491.1MiB,36.29
1785176849,187.54,197.07,499.4MiB,493.2MiB,37.45
1785176854,0.64,1.03,498.4MiB,494.4MiB,70.57
1785176859,1.10,0.16,497.9MiB,489.7MiB,99.75
1785176864,0.64,0.13,498.1MiB,489.4MiB,98.75
1785176869,0.63,0.12,498.5MiB,489.7MiB,99.50
1785176874,0.61,0.12,498.5MiB,489.5MiB,98.75
1785176879,0.61,0.15,498.1MiB,489.5MiB,99.62
1785176884,0.64,0.12,498.1MiB,489.6MiB,99.75
1785176889,0.66,0.00,498.1MiB,489.1MiB,98.75
1785176894,3.18,0.01,498.7MiB,488.5MiB,99.50
1785176899,1.09,0.00,498.4MiB,488.5MiB,99.62
1785176905,0.61,0.01,498.4MiB,488.9MiB,99.75
1785176910,0.62,0.02,498.1MiB,489.2MiB,99.75
1785176915,0.60,0.01,498.1MiB,489.3MiB,99.50
1785176920,0.77,0.01,498MiB,489.3MiB,99.50
1785176925,1.04,0.01,498.4MiB,489.3MiB,99.62
1785176930,0.11,0.00,497MiB,488.4MiB,100.00
1785176935,2.71,0.01,498.5MiB,489.7MiB,99.88
1785176940,0.10,0.00,497MiB,488.4MiB,100.00
1785176945,2.67,0.02,498.5MiB,489.1MiB,100.00
1785176950,0.12,0.00,498.2MiB,489.2MiB,99.37
1785176955,0.10,0.01,497.5MiB,488.9MiB,99.75
